,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,675,05/11/2021,"359,94","395,123541274742","1283,36","1088,48642981638",1062,"1277,89237668161",308,"156,566666666667"
,,676,06/11/2021,"223,16","244,973521894959","1254,58","1064,07656863159",1261,"1517,34678624813",130,"66,0833333333334"
,,677,07/11/2021,0,0,0,0,"400,5","481,917040358744",28,"14,2333333333333"
,,678,08/11/2021,"220,14","241,658321876484","1310,2","1111,2508729783","1243,5","1496,28923766816",430,"218,583333333333"
,,679,09/11/2021,"418,54","459,451594613354","1583,94","1343,42444492844",984,"1184,03587443946",312,"158,6"
,,680,10/11/2021,"441,86","485,05108614674","1669,1","1415,65320721117",1036,"1246,60687593423","336,5","171,054166666667"
,,681,11/11/2021,"165,8","182,006676510953","1272,86","1079,58081680595","805,5","969,248878923767",301,"153,008333333333"
,,682,12/11/2021,"419,88","460,922577403009","1217,72","1032,81362619686","1124,5","1353,09790732437",106,"53,8833333333334"
,,683,13/11/2021,"221,18","242,799980160992","1288,68","1092,99860707501",430,"517,414050822123","310,5","157,8375"
,,684,14/11/2021,0,0,"28,36","24,0536366643753","16,5","19,8542600896861","7,5","3,8125"
,,685,15/11/2021,"335,88","368,711715961995","1611,64","1366,91830020359",1076,"1294,73841554559","356,5","181,220833333333"
,,686,16/11/2021,"360,86","396,133469757192","1581,522","1341,37360947518","868,5","1045,05605381166","136,5","69,3875"
,,687,17/11/2021,"476,26","522,813629403536","1422,82","1206,76993366736",692,"832,675635276532",363,"184,525"
,,688,18/11/2021,"362,82","398,285056524149","1275,96","1082,21009302808",933,"1122,66816143498",231,"117,425"
,,689,19/11/2021,"501,3","550,301248099762","1391,4","1180,12094692566",582,"700,313901345291",259,"131,658333333333"
,,690,20/11/2021,"330,14","362,410640430192","1087,1","922,027800347051",604,"726,78624813154","129,5","65,8291666666667"
,,691,21/11/2021,0,0,0,0,0,0,0,0
,,692,22/11/2021,"412,16","452,447960137239","1365,84","1158,4421403974",932,"1121,46487294469",379,"192,658333333333"
,,693,23/11/2021,"750,18","823,508857569279","1003,4","851,037342349583",820,"986,696562032885",202,"102,683333333333"
,,694,24/11/2021,"723,1","793,781832238057","809,82","686,85176458196",645,"776,121076233184",403,"204,858333333333"
,,695,25/11/2021,"893,7","981,057700831354","722,26","612,587433611132","721,5","868,17264573991","126,5","64,3041666666667"
,,696,26/11/2021,"584,74","641,897370464502","756,5","641,628213561351",879,"1057,69058295964","351,5","178,679166666667"
,,697,27/11/2021,"673,88","739,750658427025","723,46","613,605217955181",465,"559,529147982063","178,5","90,7375"
,,698,28/11/2021,0,0,0,0,0,0,0,0
,,699,29/11/2021,"638,54","700,95623172077","1315,9","1116,08534861253",901,"1084,16292974589","215,5","109,545833333333"
,,700,30/11/2021,"442,88","486,170789464238","1475,16","1251,16229414033","822,5","989,704783258595","247,5","125,8125"
,,701,01/12/2021,"684,54","751,45265584323","777,66","659,575144161428",654,"786,95067264574",261,"132,675"
,,702,02/12/2021,"417,52","458,331891295856","919,26","779,673696759296","900,5","1083,56128550075","224,5","114,120833333333"
,,703,03/12/2021,"810,26","889,461578466613","780,24","661,763380501135","729,5","877,798953662182","319,5","162,4125"
,,704,04/12/2021,"554,18","608,350180873581","642,24","544,718180935416","497,5","598,636023916293","221,5","112,595833333333"
,,705,05/12/2021,0,0,0,0,0,0,0,0
,,706,06/12/2021,"415,02","455,587520419636","1400,34","1187,70344028883",1003,"1206,89835575486","194,5","98,8708333333334"
,,707,07/12/2021,"532,26","584,287537030879","1278,1","1084,02514177497","810,5","975,265321375187",199,"101,158333333333"
,,708,08/12/2021,"475,08","521,51828634996","1389,62","1178,61123348199","751,5","904,271300448431",348,"176,9"
,,709,09/12/2021,"280,52","307,940367278965","1251,28","1061,27766168546","669,5","805,601644245142",320,"162,666666666667"
,,710,10/12/2021,"530,54","582,399409868039","1035,08","877,906849032495","622,5","749,047085201794","233,5","118,695833333333"
,,711,11/12/2021,"251,56","276,149575048825","1232,4","1045,26452133907",618,"743,632286995516",83,"42,1916666666667"
,,712,12/12/2021,0,0,0,0,0,0,0,0
,,713,13/12/2021,"390,02","428,143811657429","1264,76","1072,71077248361",892,"1073,33333333333","245,5","124,795833333333"
,,714,14/12/2021,"334,9","367,635922578516","1259,46","1068,21555829739",820,"986,696562032885","241,5","122,7625"
